structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q104250292,340.2634907,0,1-methyl-2-[(E)-tridec-8-enyl]quinolin-4-one,C23H33NO
http://www.wikidata.org/entity/Q104984562,340.1543342,0,"8,9-dimethoxy-3,3,5-trimethyl-11H-pyrano[3,2-a]carbazol-6-ol",C20H21NO4
http://www.wikidata.org/entity/Q105013854,340.1543342,0,clausamine E,C20H21NO4
http://www.wikidata.org/entity/Q110199269,340.1543342,0,methyl 4-(3-hydroxy-3-methylbut-1-enyl)-1-methoxy-9H-carbazole-3-carboxylate,C20H21NO4
http://www.wikidata.org/entity/Q27287791,340.1543342,0,Haplophylline,C20H21NO4
http://www.wikidata.org/entity/Q104396587,340.1543342,0,glycocitrine I,C20H21NO4
http://www.wikidata.org/entity/Q27106585,340.1543342,0,Evoprenine,C20H21NO4
http://www.wikidata.org/entity/Q4382087,340.1543342,0,(S)-Canadine,C20H21NO4
http://www.wikidata.org/entity/Q27102853,340.1543342,0,(R)-Canadine,C20H21NO4
http://www.wikidata.org/entity/Q105310154,340.1543342,0,"3-(1,3-benzodioxol-5-yl)-N-[2-(4-methoxyphenyl)ethyl]-N-methylprop-2-enamide",C20H21NO4
http://www.wikidata.org/entity/Q105310155,340.1543342,0,Podocarpamide,C20H21NO4
http://www.wikidata.org/entity/Q105369286,340.1543342,0,"1,3-Dihydroxy-5-methoxy-10-methyl-2-(3-methylbut-2-enyl)acridin-9-one",C20H21NO4
http://www.wikidata.org/entity/Q105133986,340.1179486,0,1-Hydroxyrutacridone epoxide,C19H17NO5
http://www.wikidata.org/entity/Q105193122,340.1179486,0,20-Hydroxyrutacridone epoxide,C19H17NO5
http://www.wikidata.org/entity/Q105262566,340.1179486,0,Rutagravine,C19H17NO5
http://www.wikidata.org/entity/Q105302306,340.1179486,0,"(3S)-6,11-dihydroxy-3-(hydroxymethyl)-3,12-dimethylpyrano[2,3-c]acridin-7-one",C19H17NO5
http://www.wikidata.org/entity/Q105311375,340.1179486,0,Citracridone III,C19H17NO5
http://www.wikidata.org/entity/Q105352262,340.1179486,0,"3-(1,3-benzodioxol-5-yl)-N-[2-(1,3-benzodioxol-5-yl)ethyl]prop-2-enamide",C19H17NO5
